CommentId,ProgramId,UserId,CommentText,CreatedAt,IsDeleted
1,1809,4146,How much experience is needed in Tableau?,2025-08-04 11:00:00,no
2,934,1548,Is PyTorch beginner friendly for this mentorship?,2025-09-14 03:00:00,no
3,934,287,This mentorship focuses heavily on practical PyTorch experience.,2025-09-14 01:00:00,no
4,2412,35,This mentorship focuses heavily on practical YOLO experience.,2025-08-31 01:00:00,no
5,1691,378,Strong understanding of Power BI will help mentees succeed.,2025-04-29 02:00:00,no
6,1279,2614,Do I need prior knowledge of TensorFlow before joining?,2025-09-03 02:00:00,no
7,1279,5469,"Great mentorship opportunity, very interested.",2025-09-03 10:00:00,yes
8,1234,581,Mentees should spend extra time practicing GraphQL.,2025-09-19 14:00:00,yes
9,2517,5325,"Is Caching (Redis, Memcached) beginner friendly for this mentorship?",2025-02-10 13:00:00,no
10,2614,618,Python is very valuable for real-world projects.,2024-10-04 16:00:00,no
11,235,2064,Is Financial Modeling beginner friendly for this mentorship?,2024-06-04 08:00:00,no
12,268,3526,How much experience is needed in Flutter?,2025-01-17 14:00:00,no
13,2729,3992,Will this mentorship cover advanced ClickUp topics?,2025-03-31 14:00:00,no
14,2729,3842,Can someone explain more about ClickUp?,2025-03-31 15:00:00,no
15,3151,2100,Do I need prior knowledge of Google Cloud Platform before joining?,2025-03-03 10:00:00,no
16,2974,4076,Can someone explain more about Zeplin?,2025-09-13 14:00:00,no
17,308,2270,Can someone explain more about Canva?,2025-10-07 17:00:00,no
18,1406,3890,Will this mentorship cover advanced OpenCV topics?,2024-03-03 07:00:00,no
19,1497,2700,Can someone explain more about SWOT Analysis?,2025-05-07 05:00:00,no
20,2826,3444,Will this mentorship cover advanced After Effects topics?,2025-09-20 02:00:00,no
21,2911,597,Bootstrap is very valuable for real-world projects.,2025-07-28 06:00:00,no
22,2268,3294,Is Hadoop beginner friendly for this mentorship?,2025-05-15 09:00:00,no
23,1230,5448,Do I need prior knowledge of OKRs before joining?,2024-08-08 11:00:00,no
24,260,535,Brand Identity Systems is one of the most important skills in this mentorship.,2025-06-21 14:00:00,no
25,260,4052,Do I need prior knowledge of Brand Identity Systems before joining?,2025-06-21 02:00:00,no
26,1299,3006,Can someone explain more about CatBoost?,2025-06-28 17:00:00,no
27,1510,3472,Can someone explain more about Android (Kotlin)?,2025-07-09 02:00:00,no
28,530,1640,Will this mentorship cover advanced Microservices Architecture topics?,2025-09-12 01:00:00,yes
29,530,2741,Is Microservices Architecture beginner friendly for this mentorship?,2025-09-12 02:00:00,no
30,1788,3495,Is Adobe XD beginner friendly for this mentorship?,2025-07-07 07:00:00,no
31,398,2847,Do I need prior knowledge of Hadoop before joining?,2025-04-11 10:00:00,no
32,3082,830,Snowflake is very valuable for real-world projects.,2025-07-06 05:00:00,no
33,1085,1010,Google Sheets is very valuable for real-world projects.,2025-04-22 02:00:00,yes
34,1587,4568,Do I need prior knowledge of Bootstrap before joining?,2025-01-29 12:00:00,no
35,1273,4994,Do I need prior knowledge of LAMP Stack before joining?,2024-10-04 16:00:00,no
36,1273,1315,LAMP Stack is one of the most important skills in this mentorship.,2024-10-04 12:00:00,yes
37,199,399,Mentees should spend extra time practicing GitHub Actions.,2025-10-05 04:00:00,no
38,451,2626,How much experience is needed in Ionic?,2025-06-16 09:00:00,no
39,175,4110,How much experience is needed in Snowflake?,2025-07-31 10:00:00,no
40,782,4555,Do I need prior knowledge of Scikit-learn before joining?,2024-07-05 07:00:00,yes
41,2121,4169,Do I need prior knowledge of BPMN before joining?,2025-06-12 06:00:00,no
42,2269,465,Mentees should spend extra time practicing NestJS.,2025-08-18 08:00:00,no
43,363,573,Machine Learning Libraries is one of the most important skills in this mentorship.,2025-07-18 07:00:00,no
44,1194,1690,How much experience is needed in Miro?,2025-01-16 17:00:00,no
45,836,2128,Will this mentorship cover advanced Financial Modeling topics?,2025-10-05 16:00:00,no
46,1405,1672,Can someone explain more about Cinema 4D?,2025-10-18 10:00:00,no
47,1952,5103,Is Scikit-learn beginner friendly for this mentorship?,2025-07-09 07:00:00,no
48,1789,4808,Will this mentorship cover advanced Docker topics?,2025-03-04 06:00:00,no
49,1789,3403,Do I need prior knowledge of Docker before joining?,2025-03-04 01:00:00,no
50,627,1519,How much experience is needed in Angular?,2025-08-27 18:00:00,no
51,2225,671,This mentorship focuses heavily on practical LAMP Stack experience.,2025-07-22 13:00:00,no
52,2225,1542,How much experience is needed in LAMP Stack?,2025-07-22 06:00:00,no
53,2111,992,GitLab CI is very valuable for real-world projects.,2025-05-06 06:00:00,no
