ApplicationId,ProgramId,MenteeProfileId,AppliedAt,DecisionAt,Status,MeetRequirements
9,2366,1922,2025-10-21 20:14:00,2025-10-31 20:14:00,rejected,1
14,2366,1863,2025-11-03 23:22:00,2025-11-14 23:22:00,rejected,1
25,645,4358,2025-03-28 01:17:00,,alerted,0
32,956,3253,2025-06-09 22:04:00,2025-06-20 22:04:00,rejected,1
48,1204,3027,2024-02-11 23:48:00,2024-02-24 23:48:00,canceled,1
102,2425,5287,2025-10-07 11:30:00,2025-10-22 11:30:00,rejected,1
106,2868,3533,2024-12-18 09:32:00,2025-01-02 09:32:00,canceled,1
121,1101,2737,2025-09-14 02:51:00,2025-09-25 02:51:00,rejected,1
130,60,5440,2025-05-15 22:01:00,2025-06-05 22:01:00,canceled,1
141,2909,5338,2024-05-22 07:55:00,2024-06-03 07:55:00,canceled,1
168,1735,4495,2024-09-11 12:25:00,2024-09-30 12:25:00,canceled,1
171,710,2605,2025-07-15 16:56:00,2025-08-02 16:56:00,canceled,1
173,1625,4074,2025-06-23 17:22:00,2025-07-13 17:22:00,canceled,1
186,977,2056,2025-08-12 08:41:00,2025-08-25 08:41:00,canceled,1
206,3162,2647,2025-10-07 04:52:00,2025-10-15 04:52:00,rejected,1
216,1890,1719,2025-10-13 21:00:00,2025-10-27 21:00:00,canceled,1
227,781,3476,2025-08-18 17:25:00,2025-09-07 17:25:00,accepted,1
231,459,2013,2024-05-02 02:33:00,,alerted,0
245,698,5156,2025-04-27 11:24:00,2025-05-06 11:24:00,canceled,1
268,2970,5484,2025-10-19 16:19:00,2025-11-06 16:19:00,canceled,1
269,775,5311,2024-07-23 02:17:00,2024-08-05 02:17:00,canceled,1
288,924,4392,2025-09-14 17:54:00,2025-09-22 17:54:00,canceled,1
295,956,3836,2025-06-09 22:09:00,2025-06-19 22:09:00,canceled,1
323,3170,4691,2025-03-04 00:41:00,2025-03-17 00:41:00,canceled,1
355,2077,2535,2025-10-31 10:27:00,2025-11-19 10:27:00,canceled,1
369,2168,3017,2025-09-05 08:28:00,2025-09-23 08:28:00,canceled,1
371,2260,5018,2025-08-25 08:53:00,2025-09-14 08:53:00,rejected,1
372,2980,3581,2024-06-03 12:55:00,2024-06-16 12:55:00,canceled,1
388,2816,2055,2024-07-02 09:16:00,2024-07-16 09:16:00,canceled,1
391,154,4793,2025-08-01 13:01:00,2025-08-06 13:01:00,canceled,1
394,2264,3560,2025-09-26 00:52:00,2025-10-15 00:52:00,canceled,1
399,2124,1892,2024-10-01 21:51:00,2024-10-12 21:51:00,canceled,1
412,2293,3409,2024-05-15 23:27:00,2024-06-02 23:27:00,canceled,1
446,3067,5452,2025-05-15 10:43:00,2025-05-20 10:43:00,rejected,1
448,2774,2400,2025-11-09 17:02:00,2025-11-27 17:02:00,canceled,1
467,3002,2111,2025-11-05 15:46:00,2025-11-17 15:46:00,canceled,1
470,2171,2952,2025-03-05 13:31:00,2025-03-17 13:31:00,canceled,1
472,1017,1839,2025-02-28 03:14:00,2025-03-10 03:14:00,canceled,1
479,2311,4621,2025-07-24 09:40:00,2025-07-31 09:40:00,canceled,1
487,1469,4705,2025-06-03 15:32:00,2025-06-20 15:32:00,canceled,1
490,1576,3019,2025-04-11 09:21:00,2025-04-26 09:21:00,canceled,1
499,482,4240,2025-11-04 07:37:00,2025-11-13 07:37:00,canceled,1
506,2686,4070,2025-10-19 00:51:00,2025-10-27 00:51:00,canceled,1
569,1264,5245,2025-08-01 02:27:00,2025-08-06 02:27:00,rejected,1
574,2692,5202,2025-07-10 19:13:00,2025-07-22 19:13:00,canceled,1
579,47,3049,2025-11-03 17:09:00,2025-11-12 17:09:00,canceled,1
596,2344,2205,2024-11-29 22:24:00,2024-12-14 22:24:00,rejected,1
598,1852,3521,2025-10-15 15:14:00,2025-10-20 15:14:00,canceled,1
602,3008,3223,2025-09-03 13:45:00,2025-09-16 13:45:00,canceled,1
605,625,2877,2025-05-22 15:28:00,2025-06-05 15:28:00,canceled,1
610,977,2543,2025-08-08 09:23:00,2025-08-16 09:23:00,canceled,1
618,422,2877,2025-11-14 19:04:00,2025-11-25 19:04:00,canceled,1
634,147,4096,2025-10-23 17:21:00,2025-10-24 17:21:00,canceled,1
653,2718,2671,2025-10-06 14:08:00,2025-10-07 14:08:00,canceled,1
678,933,4541,2025-06-14 03:21:00,2025-06-27 03:21:00,rejected,1
692,197,2469,2025-07-04 00:00:00,2025-07-08 00:00:00,canceled,1
695,975,3024,2025-03-31 00:00:00,2025-04-07 00:00:00,canceled,1
713,532,1648,2025-09-28 00:00:00,2025-10-11 00:00:00,canceled,1
738,781,2961,2025-08-22 00:00:00,2025-08-30 00:00:00,canceled,1
761,1127,1580,2025-09-07 00:00:00,2025-09-17 00:00:00,rejected,1
771,2952,3469,2025-02-28 00:00:00,2025-03-10 00:00:00,canceled,1
775,2296,5424,2025-05-03 00:00:00,2025-05-14 00:00:00,accepted,1
784,347,3988,2025-09-23 10:59:00,,alerted,0
798,308,3989,2025-10-04 00:00:00,2025-10-10 00:00:00,accepted,1
800,2256,4905,2025-09-03 00:00:00,2025-09-11 00:00:00,accepted,1
805,2036,4903,2025-08-13 00:00:00,2025-08-21 00:00:00,accepted,1
807,1469,4296,2025-06-06 00:00:00,2025-06-18 00:00:00,accepted,1
809,902,5245,2024-11-03 01:57:00,2024-11-24 01:57:00,accepted,1
810,781,3938,2025-08-22 00:00:00,2025-08-27 00:00:00,accepted,1
823,2226,4716,2025-08-27 12:43:00,2025-08-31 12:43:00,accepted,1
827,977,2584,2025-07-25 00:00:00,2025-07-29 00:00:00,accepted,1
835,1991,2986,2025-08-22 09:42:00,2025-09-01 09:42:00,accepted,1
841,3098,4837,2025-04-07 00:00:00,2025-04-10 00:00:00,accepted,1
851,2440,4449,2024-10-30 00:00:00,2024-11-07 00:00:00,rejected,1
855,1383,5170,2025-10-14 00:00:00,2025-10-25 00:00:00,accepted,1
872,154,4401,2025-07-14 00:00:00,2025-07-26 00:00:00,accepted,1
943,3162,2123,2025-10-03 00:00:00,2025-10-07 00:00:00,rejected,1
952,530,3600,2025-09-10 00:00:00,,alerted,0
