CancelledId,ApplicationId,ProgramId,MenteeId,CancellationDate,CancellationReason
1,48,1204,3027,2024-02-24 23:48:54,schedule_conflict
2,106,2868,3533,2025-01-02 09:32:46,application_sent_by_mistake
3,130,60,5440,2025-06-05 22:01:59,personal_issue
4,141,2909,5338,2024-06-03 07:55:27,availability_changed
5,168,1735,4495,2024-09-30 12:25:47,time_zone_issue
6,171,710,2605,2025-08-02 16:56:42,time_zone_issue
7,173,1625,4074,2025-07-13 17:22:15,not_ready_yet
8,186,977,2056,2025-08-25 08:41:48,accepted_other_offer
9,216,1890,1719,2025-10-27 21:00:00,availability_changed
10,245,698,5156,2025-05-06 11:24:39,personal_issue
11,268,2970,5484,2025-11-06 16:19:17,not_ready_yet
12,269,775,5311,2024-08-05 02:17:13,application_sent_by_mistake
13,288,924,4392,2025-09-22 17:54:14,accepted_other_offer
14,295,956,3836,2025-06-19 22:09:01,time_zone_issue
15,323,3170,4691,2025-03-17 00:41:23,time_zone_issue
16,355,2077,2535,2025-11-19 10:27:42,time_zone_issue
17,369,2168,3017,2025-09-23 08:28:24,schedule_conflict
18,372,2980,3581,2024-06-16 12:55:38,availability_changed
19,388,2816,2055,2024-07-16 09:16:14,lost_interest
20,391,154,4793,2025-08-06 13:01:25,schedule_conflict
21,394,2264,3560,2025-10-15 00:52:46,availability_changed
22,399,2124,1892,2024-10-12 21:51:30,time_zone_issue
23,412,2293,3409,2024-06-02 23:27:24,schedule_conflict
24,448,2774,2400,2025-11-27 17:02:55,schedule_conflict
25,467,3002,2111,2025-11-17 15:46:05,lost_interest
26,470,2171,2952,2025-03-17 13:31:09,accepted_other_offer
27,472,1017,1839,2025-03-10 03:14:04,time_zone_issue
28,479,2311,4621,2025-07-31 09:40:03,lost_interest
29,487,1469,4705,2025-06-20 15:32:11,availability_changed
30,490,1576,3019,2025-04-26 09:21:22,not_ready_yet
31,499,482,4240,2025-11-13 07:37:11,availability_changed
32,506,2686,4070,2025-10-27 00:51:40,time_zone_issue
33,574,2692,5202,2025-07-22 19:13:13,not_ready_yet
34,579,47,3049,2025-11-12 17:09:47,application_sent_by_mistake
35,598,1852,3521,2025-10-20 15:14:42,application_sent_by_mistake
36,602,3008,3223,2025-09-16 13:45:33,accepted_other_offer
37,605,625,2877,2025-06-05 15:28:01,schedule_conflict
38,610,977,2543,2025-08-16 09:23:23,not_ready_yet
39,618,422,2877,2025-11-25 19:04:24,personal_issue
40,634,147,4096,2025-10-24 17:21:38,lost_interest
41,653,2718,2671,2025-10-07 14:08:05,not_ready_yet
42,692,197,2469,2025-07-08 00:00:00,lost_interest
43,695,975,3024,2025-04-07 00:00:00,not_ready_yet
44,713,532,1648,2025-10-11 00:00:00,application_sent_by_mistake
45,738,781,2961,2025-08-30 00:00:00,time_zone_issue
46,771,2952,3469,2025-03-10 00:00:00,personal_issue
47,1277,1316,3392,2025-09-27 00:00:00,schedule_conflict
48,1321,2291,3158,2025-05-22 00:00:00,lost_interest
49,1575,1459,3976,2025-03-28 12:01:47,availability_changed
50,2256,79,4294,2025-07-03 00:00:00,time_zone_issue
51,2648,1768,4253,2025-09-27 00:00:00,application_sent_by_mistake
52,3151,779,4536,2025-04-12 00:00:00,accepted_other_offer
53,3408,2671,2006,2025-09-02 00:00:00,application_sent_by_mistake
54,3597,1032,1680,2025-07-04 00:00:00,application_sent_by_mistake
55,3770,2868,2822,2024-12-08 00:00:00,availability_changed
56,3825,1662,2650,2025-04-02 22:09:34,application_sent_by_mistake
57,3928,2920,3129,2025-08-11 00:00:00,not_ready_yet
58,3978,1316,4922,2025-09-22 00:00:00,time_zone_issue
59,4021,868,3030,2025-11-05 17:52:14,not_ready_yet
60,4101,1461,2291,2025-08-12 00:00:00,schedule_conflict
61,4159,421,4213,2025-10-11 00:00:00,schedule_conflict
62,4594,3140,4005,2025-10-08 00:00:00,schedule_conflict
63,4689,3071,5171,2024-09-17 00:00:00,accepted_other_offer
64,4761,891,1668,2025-06-29 00:00:00,schedule_conflict
65,4772,585,3755,2025-09-14 00:00:00,schedule_conflict
66,5182,2868,2864,2025-05-16 04:04:56,availability_changed
67,5545,3145,2090,2025-05-28 00:00:00,time_zone_issue
68,5957,1644,3513,2025-08-12 06:13:09,accepted_other_offer
69,5989,769,3343,2025-10-08 00:00:00,not_ready_yet
70,6021,1651,5466,2025-10-09 00:00:00,application_sent_by_mistake
71,6233,2627,3585,2025-08-25 00:00:00,accepted_other_offer
72,6314,2969,2215,2025-09-27 00:00:00,time_zone_issue
73,6346,781,5332,2025-08-23 00:00:00,not_ready_yet
