FeedbackId,MentorshipId,MenteeProfileId,MentorProfileId,Rating,Comment,CreatedAt
1,2266,5197,1379,3,كنسلت المينتورشيب لان المينتور بدا يدخل في مواضيع Advanced بسرعه,2025-09-02 00:00:00
2,658,2851,878,4,الرود ماب طويله وتزهق، بس هي دي الخلاصه الي محتاجها اي حد جدي,2025-06-20 00:00:00
3,683,4517,394,4,I’m halfway through and I can finaly read profesional code easily.,2026-01-02 00:00:00
4,1862,4715,420,5,انا في نص الطريق وحاس ان المينتورشيب دي بروفيشينال اكتر من اماكن بوقت,2024-09-15 00:00:00
5,2113,2158,883,5,السيشنز التفاعليه جعلت من عمليه التعلم تجربه متعه حقاً,2025-10-29 00:00:00
6,1672,3760,514,5,المينتور بيشرح الـ API Integration بذكاء وخلانا نطبقها في بروجكت حقيقي,2025-09-15 00:00:00
7,1669,5225,93,4,كفو واله يا مينتور، شرحك لـ Clean Code خلاني مبرمج انظف بكتير,2025-10-28 00:00:00
8,2922,5291,923,4,Just finished! I finaly fel like I’m in the zone when I’m coding.,2025-11-12 00:00:00
9,2405,4317,275,4,The mentor is a wizard with the terminal. He taught us so many shortcuts.,2024-11-12 00:00:00
10,3034,1836,1402,4,الـ Mentor كان بيقعد معانا وقت زياده عشان يجاوبنا,2025-10-22 00:00:00
11,1851,3744,132,4,The mentor focuses on high-level paterns that seniors use in big firms.,2026-01-29 00:00:00
12,2762,5451,407,4,The mentor’s vibe is amazing. He makes you love coding even more.,2025-08-06 00:00:00
13,1785,1654,963,4,المواعيد كانت بتعارض مع كليتي بس المينتور كان بيسجل كل حاجه بجد,2026-01-26 00:00:00
14,283,3162,13,4,انا في نص الطريق وبقول لكل: المينتورشيب دي احسن استثمار لوقتك,2025-01-08 00:00:00
15,2160,2542,637,5,لسه مخلص والـ Mentor ساعدني في الـ Interview prep بجد شابوه,2025-11-28 00:00:00
16,2412,4165,1234,5,The mentor is so down to earth and easy to talk to about anything.,2025-09-21 00:00:00
17,2243,2182,1320,4,لقد انهيت المينتورشيب واشعر باني اصبحت مبرمجاً محترفاً,2025-04-16 00:00:00
18,1286,3751,1478,5,المينتورشيب دي كانت بمثابه نقطه تحول في حياتي المهنيه، شكراً بجد,2024-11-24 00:00:00
19,734,3495,888,5,المينتور موسوعه في الـ Backend وتجربه التعلم معاه كانت Epic,2025-12-03 00:00:00
20,819,2560,11,4,التاسكات خلتني اتعامل مع APIs حقيقيه وافهم الدنيا ماشيه ازاي,2025-11-07 00:00:00
21,991,4700,922,5,بجد الرود ماب دي هي الي خلتني واثق في نفسي وانا بقدم علي شغل,2025-02-12 00:00:00
22,2669,4818,1169,4,الكود كان بيضرب مني كتير، بس المينتور علمني ازاي احب الـ Bugs,2026-02-05 00:00:00
23,1527,5118,277,4,الرود ماب ماشيه بـ Flow منطقي جداً يخليك متهنجش في النص ابداً,2025-03-07 00:00:00
24,1143,4918,1063,4,الرود ماب منظمه جداً وكل موديول بيكمل الي قبله بذكاء,2024-11-15 00:00:00
25,3007,4006,128,5,The roadmap is very wel-structured and easy to folow.,2024-11-26 00:00:00
26,125,1789,432,5,المينتورشيب دي خلتني اتعامل مع الـ Memory Management باحترافيه عاليه,2025-09-17 04:41:40
27,2751,2666,190,5,الـ slides فيها رسومات توضيحيه خلت الـ System Design متع,2025-11-16 00:00:00
28,1571,3230,1460,5,انا في نص المينتورشيب وبجد متن جداً لمينتور علي مجهوده الجبار معانا,2025-06-19 00:00:00
29,2873,1955,1118,3,"The explanation is clear, but there’s not much buz in the comunity.",2024-03-25 00:00:00
30,2200,3795,960,3,المينتور شاطر بس اسلوبه في الشرح هادي بزياده، محتاج باور شويه,2025-11-07 00:00:00
31,2539,5137,367,5,Just finished. The mentor’s advice on frelancing was super practical.,2024-10-05 00:00:00
32,1553,3989,731,3,المينتور اسلوبه هادي اوي ومحتاج يزود الحماس شويه في السيشنز بتاعته,2024-08-08 00:00:00
33,3068,2674,1159,5,السيشنز المسجله واضحه جداً وتساعد في المراجعه في اي وقت,2025-09-21 00:00:00
34,1071,2855,114,5,لسه مخلص وحاس اني بقيت بني ادم تقني جديد بفضل المينتور ده,2025-10-09 00:00:00
35,495,5182,1396,5,المينتور متواضع جداً رغم خبرته الكبيره وبيتعامل معانا كاخ كبير لينا,2025-11-05 00:00:00
36,2289,5093,1078,3,انا في نص الطريق وبديت احس بضغط التاسكات والديدلاينز اوي,2025-12-26 00:00:00
37,491,2465,299,3,"The mentor is smart, but his teaching aproach is a bit to fast for me.",2025-12-26 00:00:00
38,1285,1652,912,5,لسه مخلص والـ Mentor ساعدني افهم ازاي اعمل Documentation محترم لبروجكتي,2024-08-31 00:00:00
39,129,5033,258,5,The roadmap is perfectly paced. It chalenges you without making you fel overwhelmed.,2025-09-04 00:00:00
40,1013,1863,621,5,الرود ماب دي هي الكتالوج الي كان ناقصني عشان ادخل سوق العمل,2025-10-25 00:00:00
41,2963,2178,173,3,The mentor is knowledgeable but he often gets distracted by side topics.,2025-06-12 00:00:00
42,1032,4485,711,5,I’m halfway through and I kep teling my friends to join the next cohort.,2025-06-17 00:00:00
43,215,4050,680,1,المنصه مبيفتحش عليها الـ PDF، بضطر احمله بره كل شويه,2025-08-13 17:39:13
44,454,3995,948,5,المينتور دايماً بيدينا ريسورسز وادوات بيستخدمها هو شخصياً في شغله,2025-04-30 00:00:00
45,1375,5396,889,4,"Just finished. Advice: Trust the mentor's proces, it works perfectly.",2025-08-09 00:00:00
46,2159,4418,1381,2,التحفيز راح ومش قادر ارجعه تاني,2025-04-08 00:00:00
47,2048,4777,171,5,المينتور بيعلمنا الـ Mindset مش بس الـ Tols وده الفرق الجوهري,2025-01-30 00:00:00
48,2668,4266,443,5,I am halfway through and I finaly learned how to build scalable aps.,2025-12-21 00:00:00
49,2515,2513,1461,4,الـ Fedback كان قاسي جداً، بس هو ده الي خلاني اصلح اخطاءي الكارثيه,2025-04-21 00:00:00
50,2930,5285,169,5,بصراحه المينتور ده فنان في تحويل الـ Math لبرمجه متعه وسهله,2026-01-14 00:00:00
51,1665,4484,123,5,الكورس ده احسن قرار خدته السنه دي بجد ومن غير مبالغه,2026-03-07 00:00:00
52,250,4153,651,3,Halfway through and I’m strugling to kep my rhythm with my job.,2025-10-11 00:00:00
53,3182,5227,1430,3,المينتورشيب كويسه، بس يا ريت المينتور يهتم اكتر بالتاسكات العمليه,2025-10-05 00:00:00
54,3220,1512,1478,4,The roadmap is consistently updated with the latest 2026 tech trends.,2024-06-28 00:00:00
55,1654,3847,941,3,Just finished; it was a fair experience for a fre mentorship program.,2025-09-10 00:00:00
56,931,3532,518,3,انا دلوقتي في نص المينتورشيب وبدات احس بعض المل من طول المنهج,2025-11-04 00:00:00
57,2342,5351,1393,4,The mentor is a subject mater expert with incredible teaching skils.,2025-08-18 00:00:00
