mentor_id,technology_id
1,33
1,31
1,32
1,29
1,42
1,37
1,40
2,65
2,70
2,72
2,73
2,75
2,103
2,98
3,14
3,13
3,18
3,25
3,24
3,23
3,22
3,27
3,42
3,38
3,36
3,43
3,39
4,73
4,72
4,74
4,71
4,75
4,85
4,87
5,110
5,111
5,114
5,113
5,112
5,127
5,126
5,124
5,125
6,121
6,123
6,122
6,126
6,127
6,125
7,1
7,8
7,2
7,33
7,32
7,31
7,34
7,48
7,55
8,66
8,65
8,67
8,69
8,80
8,76
8,79
9,11
9,20
9,12
9,31
9,30
9,44
9,47
10,23
10,24
10,25
10,26
10,28
10,31
10,33
10,32
10,29
10,49
10,48
10,54
10,53
10,50
11,13
11,20
11,10
11,17
11,12
11,31
11,32
11,30
11,36
11,42
11,44
11,46
12,67
12,66
12,69
12,86
12,81
12,89
12,94
12,91
13,72
13,73
13,75
13,74
13,76
13,80
13,77
13,96
13,97
13,100
14,1
14,3
14,5
14,4
14,36
14,38
14,45
15,38
15,44
15,42
15,43
15,48
15,49
15,53
16,8
16,5
16,1
16,4
16,23
16,24
16,25
16,27
16,56
16,51
17,109
17,106
17,105
17,117
17,116
17,118
17,127
17,126
17,125
18,76
18,80
18,77
18,95
18,94
18,93
18,103
18,97
18,96
18,101
18,99
19,23
19,28
19,33
19,35
19,37
19,38
19,44
19,47
19,41
20,106
20,104
20,108
20,123
20,121
20,120
21,65
21,70
21,86
21,84
21,85
21,81
21,95
21,89
21,91
22,25
22,24
22,23
22,27
22,42
22,37
22,36
22,43
22,41
23,106
23,109
23,104
23,108
23,123
23,120
24,80
24,79
24,96
24,103
24,97
24,99
25,5
25,1
25,8
25,4
25,38
25,42
25,44
25,43
25,56
25,50
26,136
26,138
26,135
26,139
26,149
26,146
26,148
26,147
26,154
26,151
26,152
26,153
26,150
27,136
27,135
27,140
27,141
27,142
27,143
27,145
27,154
27,153
28,66
28,68
28,97
28,103
28,99
29,10
29,18
29,31
29,33
29,32
29,34
29,30
30,128
30,134
30,130
30,138
30,136
30,135
30,139
30,142
30,141
30,144
30,143
30,145
31,14
31,19
31,24
31,25
31,22
31,48
31,56
31,49
31,52
32,131
32,134
32,129
32,136
32,135
32,137
32,141
32,142
32,143
32,145
32,144
33,134
33,128
33,131
33,129
33,132
33,154
33,151
33,153
33,150
33,152
34,72
34,71
34,89
34,91
34,97
34,96
34,98
35,23
35,27
35,32
35,33
35,29
36,141
36,142
36,144
36,145
36,146
36,149
36,147
36,154
36,151
36,150
36,152
37,20
37,11
37,15
37,44
37,38
37,36
37,47
38,1
38,8
38,2
38,24
38,25
38,28
38,31
38,33
38,30
39,59
39,60
39,57
39,61
39,58
39,67
39,65
39,66
39,68
39,69
40,67
40,65
40,69
40,84
40,85
40,82
40,97
40,103
40,96
40,100
40,102
41,104
41,109
41,106
41,108
41,110
41,111
41,115
41,123
41,121
41,120
42,3
42,7
42,23
42,25
42,22
42,54
42,56
42,49
42,50
43,3
43,5
43,1
43,4
43,11
43,14
43,12
43,33
43,32
43,31
43,34
44,80
44,76
44,77
44,86
44,84
44,88
44,94
44,91
45,73
45,72
45,75
45,76
45,80
45,77
45,79
45,78
45,97
45,96
45,103
45,98
46,138
46,136
46,137
46,141
46,142
46,145
46,144
46,143
46,146
46,149
46,148
47,106
47,104
47,109
47,105
47,107
47,117
47,116
47,119
47,127
47,126
47,124
48,1
48,2
48,25
48,23
48,27
48,44
48,36
48,45
49,73
49,72
49,75
49,94
49,89
49,95
49,91
49,93
49,96
49,103
49,97
49,101
50,104
50,108
50,116
50,117
50,119
51,23
51,24
51,22
51,49
51,51
52,3
52,7
52,13
52,14
52,10
52,15
52,12
52,44
52,37
52,38
52,39
53,11
53,19
53,23
53,27
53,37
53,41
54,14
54,20
54,10
54,19
54,32
54,33
54,35
54,56
54,48
54,49
54,50
55,8
55,5
55,4
55,33
55,31
55,32
55,34
55,36
55,37
55,44
55,41
56,10
56,13
56,19
56,42
56,36
56,46
57,10
57,13
57,15
