MentorshipRequirementId,ProgramId,TechnologyId,RequiredExperienceLevel
1,1,109,beginner
2,1,104,none
3,1,106,none
4,2,116,advanced
5,2,119,none
6,2,117,beginner
7,3,116,beginner
8,3,119,none
9,3,118,none
10,4,29,beginner
11,4,32,beginner
12,5,32,none
13,5,29,beginner
14,6,1,intermediate
15,6,7,beginner
16,7,25,none
17,7,28,beginner
18,7,24,none
19,8,29,intermediate
20,8,32,intermediate
21,9,109,none
22,9,107,none
23,9,104,beginner
24,10,107,beginner
25,10,109,none
26,10,104,beginner
27,11,107,beginner
28,11,109,none
29,11,104,none
30,12,107,none
31,12,109,beginner
32,12,104,intermediate
33,13,110,intermediate
34,13,115,advanced
35,14,127,none
36,14,124,none
37,14,126,intermediate
38,15,115,intermediate
39,15,110,beginner
40,16,110,intermediate
41,16,115,intermediate
42,17,93,none
43,17,95,beginner
44,18,68,beginner
45,19,65,beginner
46,20,59,none
47,20,60,none
48,20,57,none
49,21,58,beginner
50,21,60,none
51,21,59,none
52,22,59,intermediate
53,22,61,beginner
54,22,58,beginner
55,23,65,beginner
56,23,67,beginner
57,23,70,beginner
58,24,76,intermediate
59,25,113,beginner
60,25,114,none
61,25,112,beginner
62,26,109,intermediate
63,26,108,beginner
64,26,106,beginner
65,27,110,intermediate
66,27,114,beginner
67,27,111,none
68,28,118,advanced
69,28,116,beginner
70,28,117,intermediate
71,29,118,none
72,29,119,beginner
73,29,116,none
74,30,68,intermediate
75,30,70,none
76,30,69,beginner
77,31,68,beginner
78,31,69,beginner
79,31,70,none
80,32,70,none
81,32,68,beginner
82,32,66,intermediate
83,33,110,beginner
84,33,115,none
85,33,111,none
86,34,124,beginner
87,34,127,none
88,34,126,none
89,35,126,none
90,35,127,intermediate
91,35,125,beginner
92,36,25,advanced
93,36,26,intermediate
94,37,25,beginner
95,38,25,beginner
96,38,26,none
97,39,34,intermediate
98,39,33,none
99,39,32,beginner
100,40,32,none
101,40,33,beginner
102,40,34,intermediate
103,41,33,none
104,41,34,beginner
105,41,32,none
106,42,23,intermediate
107,42,25,intermediate
108,42,22,advanced
109,43,24,beginner
110,43,25,beginner
111,43,23,beginner
112,44,71,beginner
113,44,72,beginner
114,44,75,beginner
115,45,72,beginner
116,45,71,none
117,45,73,beginner
118,46,72,none
119,46,71,beginner
120,46,75,beginner
121,47,72,none
122,47,73,intermediate
123,47,71,none
124,48,13,beginner
125,48,10,none
126,48,18,intermediate
127,49,31,advanced
128,49,29,beginner
129,50,13,none
130,50,14,beginner
131,50,10,beginner
132,51,19,beginner
133,51,13,none
134,51,18,intermediate
135,52,18,beginner
136,52,14,beginner
137,52,10,beginner
138,53,110,advanced
139,53,111,none
140,53,114,none
141,54,111,beginner
142,54,110,beginner
143,54,114,none
144,55,114,beginner
145,55,111,none
146,55,110,beginner
147,56,114,beginner
148,56,110,beginner
149,56,111,beginner
150,57,117,none
151,57,116,beginner
152,57,118,beginner
153,58,125,none
154,58,127,none
155,58,126,none
156,59,28,intermediate
157,59,24,beginner
158,60,2,none
159,60,3,beginner
160,60,8,none
161,61,28,advanced
162,62,8,none
163,62,2,intermediate
164,62,3,intermediate
165,63,46,beginner
166,63,42,none
167,64,65,none
168,65,73,intermediate
169,65,75,intermediate
170,66,33,none
171,66,31,intermediate
172,66,29,none
173,67,29,beginner
174,67,33,beginner
175,67,32,beginner
176,68,5,beginner
177,68,1,beginner
178,68,4,beginner
179,69,48,none
180,69,49,beginner
181,69,50,none
182,70,11,intermediate
183,70,14,beginner
184,70,18,beginner
185,71,14,none
186,71,20,beginner
187,71,11,advanced
188,72,28,none
189,72,23,beginner
190,72,25,intermediate
191,73,18,intermediate
192,73,20,beginner
193,73,11,none
194,74,42,beginner
195,74,36,intermediate
196,74,45,beginner
197,75,36,intermediate
198,75,42,none
199,75,38,none
200,76,48,none
201,76,54,beginner
202,76,56,beginner
203,77,23,beginner
204,77,22,none
205,77,25,none
206,78,43,none
207,78,39,none
208,78,36,intermediate
209,79,23,none
210,79,25,beginner
211,79,24,none
212,80,109,advanced
213,80,108,none
214,80,106,intermediate
215,81,127,beginner
216,81,124,intermediate
217,81,125,none
218,82,124,beginner
219,82,127,intermediate
220,82,125,beginner
221,83,117,beginner
222,83,118,beginner
223,83,119,none
224,84,126,intermediate
225,84,124,none
226,84,127,intermediate
227,85,119,advanced
228,85,118,intermediate
229,85,116,beginner
230,86,116,none
231,86,117,beginner
232,86,119,intermediate
233,87,117,beginner
234,87,116,beginner
235,87,118,beginner
236,88,14,intermediate
237,88,20,none
238,88,11,beginner
239,89,28,beginner
240,89,24,advanced
241,89,23,beginner
242,90,111,none
243,90,114,beginner
244,90,110,intermediate
245,91,76,beginner
246,91,78,beginner
247,91,77,none
248,92,79,beginner
249,92,76,none
250,92,77,intermediate
251,93,79,beginner
252,93,78,none
253,93,77,none
254,94,35,beginner
255,94,31,advanced
256,94,32,beginner
257,95,31,beginner
258,95,33,none
259,95,32,none
260,96,31,none
261,96,33,none
262,96,35,none
263,97,34,none
264,97,33,none
265,97,31,none
266,98,54,intermediate
267,98,50,none
268,99,24,beginner
269,99,26,beginner
270,99,25,beginner
271,100,137,beginner
272,100,135,none
273,100,136,none
274,101,109,none
275,101,104,beginner
276,101,106,beginner
277,102,104,beginner
278,102,106,none
279,102,107,beginner
280,103,106,none
281,103,109,intermediate
282,103,107,intermediate
283,104,37,none
284,104,41,none
285,105,23,none
286,105,27,none
287,105,28,none
288,106,23,beginner
289,106,28,none
290,106,27,intermediate
291,107,52,beginner
292,107,50,beginner
293,107,48,beginner
294,108,27,none
295,108,24,intermediate
296,108,25,beginner
297,109,24,intermediate
298,109,27,none
299,109,25,intermediate
300,110,24,advanced
301,110,27,none
302,110,25,beginner
303,111,128,beginner
304,111,130,none
305,111,134,advanced
306,112,130,advanced
307,112,128,beginner
308,112,134,none
309,113,151,none
310,113,154,beginner
311,113,150,none
312,114,130,none
313,114,134,none
314,114,128,advanced
315,115,37,none
316,115,42,none
317,115,43,none
318,116,42,beginner
319,116,37,intermediate
320,116,43,intermediate
321,117,10,intermediate
322,117,11,advanced
323,117,20,none
324,118,147,none
325,118,148,none
326,118,146,beginner
327,119,146,none
328,119,148,beginner
329,119,147,beginner
330,120,149,intermediate
331,120,146,beginner
332,120,148,intermediate
333,121,148,none
334,121,147,intermediate
335,121,146,none
336,122,149,none
337,122,146,beginner
338,122,148,none
339,123,32,beginner
340,123,30,beginner
341,123,34,beginner
342,124,38,beginner
343,124,45,intermediate
344,124,36,advanced
345,125,3,intermediate
346,125,4,beginner
347,125,5,intermediate
348,126,4,none
349,126,3,beginner
350,126,1,none
351,127,137,beginner
352,128,138,none
353,128,137,beginner
354,129,137,beginner
355,129,138,intermediate
356,130,137,intermediate
357,131,150,none
358,131,153,intermediate
359,131,152,advanced
360,132,37,beginner
361,132,47,none
362,132,40,none
363,133,24,beginner
364,133,25,none
365,133,23,beginner
366,134,30,none
367,134,31,advanced
368,134,33,none
369,135,7,advanced
370,135,8,beginner
371,135,4,none
372,136,24,none
373,136,25,beginner
374,136,23,beginner
375,137,30,beginner
376,137,31,intermediate
377,137,33,none
378,138,110,none
379,138,114,beginner
380,138,113,none
381,139,111,none
382,139,113,none
383,139,110,beginner
384,140,86,none
385,140,84,none
386,140,85,none
387,141,85,beginner
388,141,84,none
389,141,86,intermediate
390,142,97,none
391,142,98,none
392,142,103,none
393,143,86,none
394,143,83,beginner
395,143,84,beginner
396,144,1,none
397,144,7,none
398,144,5,intermediate
399,145,38,beginner
400,145,44,advanced
401,145,42,intermediate
402,146,38,none
403,146,44,none
404,146,42,beginner
405,147,8,none
406,147,5,beginner
407,147,1,beginner
408,148,40,beginner
409,148,38,none
410,149,38,intermediate
411,149,40,intermediate
412,150,105,none
