MentorId,SubDomainId
1,4
1,5
2,8
2,9
2,13
3,2
3,3
3,5
4,9
4,11
5,15
5,18
6,17
6,18
7,1
7,4
7,6
8,8
8,10
9,2
9,4
9,5
10,3
10,4
10,6
11,2
11,4
11,5
12,8
12,11
12,12
13,9
13,10
13,13
14,1
14,5
15,5
15,6
16,1
16,3
16,6
17,14
17,16
17,18
18,10
18,12
18,13
19,3
19,4
19,5
20,14
20,17
21,8
21,11
21,12
22,3
22,5
23,14
23,17
24,10
24,13
25,1
25,5
25,6
26,20
26,22
26,23
27,20
27,21
27,23
28,8
28,13
29,2
29,4
30,19
30,20
30,21
31,2
31,3
31,6
32,19
32,20
32,21
33,19
33,23
34,9
34,12
34,13
35,3
35,4
36,21
36,22
36,23
37,2
37,5
38,1
38,3
38,4
39,7
39,8
40,8
40,11
40,13
41,14
41,15
41,17
42,1
42,3
42,6
43,1
43,2
43,4
44,10
44,11
44,12
45,9
45,10
45,13
46,20
46,21
46,22
47,14
47,16
47,18
48,1
48,3
48,5
49,9
49,12
49,13
50,14
50,16
51,3
51,6
52,1
52,2
52,5
53,2
53,3
53,5
54,2
54,4
54,6
55,1
55,4
55,5
56,2
56,5
57,2
57,3
57,4
58,14
58,16
59,7
59,8
59,11
60,3
60,4
60,5
61,1
61,4
62,2
62,3
62,4
63,9
63,13
64,7
64,8
65,14
65,18
66,4
66,5
66,6
67,9
67,10
68,8
68,11
68,12
69,7
69,8
69,9
70,7
70,10
70,12
71,7
71,9
71,11
72,19
72,22
72,23
73,1
73,2
73,5
74,9
74,10
74,11
75,1
75,3
75,5
76,14
76,18
77,1
77,4
77,5
78,2
78,5
78,6
79,19
79,22
79,23
80,19
80,21
80,23
81,4
81,5
82,19
82,21
82,22
83,11
83,12
83,13
84,15
84,16
84,18
85,1
85,2
85,6
86,2
86,3
87,19
87,20
87,23
88,20
88,21
88,22
89,19
89,20
89,23
90,1
90,2
90,5
91,7
91,10
92,1
92,4
93,1
93,4
93,6
94,4
94,6
95,10
95,11
95,12
96,7
96,8
96,9
97,3
97,5
97,6
98,14
98,17
98,18
99,1
99,5
99,6
100,2
100,3
100,4
101,1
101,2
102,14
102,18
103,16
103,17
103,18
104,8
104,9
105,2
105,5
106,19
106,21
106,23
107,16
107,17
107,18
108,15
108,16
108,18
109,8
109,9
109,13
110,9
110,10
110,12
111,1
111,4
112,15
112,18
113,14
113,15
113,16
114,7
114,11
114,12
115,19
115,20
115,21
116,2
116,6
117,9
117,11
117,12
118,10
118,11
118,13
119,8
119,11
120,7
120,8
120,12
121,19
121,20
121,21
122,1
122,2
122,4
123,3
123,4
123,5
124,14
124,16
125,1
125,5
126,10
126,11
126,13
127,8
127,12
128,1
128,3
128,4
129,3
129,5
130,20
130,22
130,23
131,19
131,22
131,23
132,9
132,10
132,13
133,1
133,3
133,4
134,20
134,22
134,23
135,2
135,4
135,6
136,7
136,12
136,13
137,2
137,4
137,6
138,2
138,5
138,6
139,1
139,6
140,8
140,11
140,13
141,3
141,4
141,6
142,2
142,3
142,5
143,16
143,17
144,2
144,3
144,6
145,4
145,5
145,6
146,2
