ApplicationId,ProgramId,MenteeProfileId,AppliedAt,DecisionAt,Status,MeetRequirements
9,2366,1922,03/01/2027 20:14,13/01/2027 20:14,rejected,1
14,2366,1863,16/01/2027 23:22,27/01/2027 23:22,rejected,1
25,645,4358,10/06/2026 01:17,,alerted,1
32,956,3253,22/08/2026 22:04,02/09/2026 22:04,rejected,1
48,1204,3027,25/04/2025 23:48,08/05/2025 23:48,canceled,1
102,2425,5287,20/12/2026 11:30,04/01/2027 11:30,rejected,1
106,2868,3533,02/03/2026 09:32,17/03/2026 09:32,canceled,1
121,1101,2737,27/11/2026 02:51,08/12/2026 02:51,rejected,1
130,60,5440,28/07/2026 22:01,18/08/2026 22:01,canceled,1
141,2909,5338,04/08/2025 07:55,16/08/2025 07:55,canceled,1
168,1735,4495,24/11/2025 12:25,13/12/2025 12:25,canceled,1
171,710,2605,27/09/2026 16:56,15/10/2026 16:56,canceled,1
173,1625,4074,05/09/2026 17:22,25/09/2026 17:22,canceled,1
186,977,2056,25/10/2026 08:41,07/11/2026 08:41,canceled,1
206,3162,2647,20/12/2026 04:52,28/12/2026 04:52,rejected,1
216,1890,1719,26/12/2026 21:00,09/01/2027 21:00,canceled,1
227,781,3476,31/10/2026 17:25,20/11/2026 17:25,accepted,1
231,459,2013,15/07/2025 02:33,,alerted,1
245,698,5156,10/07/2026 11:24,19/07/2026 11:24,canceled,1
268,2970,5484,01/01/2027 16:19,19/01/2027 16:19,canceled,1
269,775,5311,05/10/2025 02:17,18/10/2025 02:17,canceled,1
288,924,4392,27/11/2026 17:54,05/12/2026 17:54,canceled,1
295,956,3836,22/08/2026 22:09,01/09/2026 22:09,canceled,1
323,3170,4691,17/05/2026 00:41,30/05/2026 00:41,canceled,1
355,2077,2535,13/01/2027 10:27,01/02/2027 10:27,canceled,1
369,2168,3017,18/11/2026 08:28,06/12/2026 08:28,canceled,1
371,2260,5018,07/11/2026 08:53,27/11/2026 08:53,rejected,1
372,2980,3581,16/08/2025 12:55,29/08/2025 12:55,canceled,1
388,2816,2055,14/09/2025 09:16,28/09/2025 09:16,canceled,1
391,154,4793,14/10/2026 13:01,19/10/2026 13:01,canceled,1
394,2264,3560,09/12/2026 00:52,28/12/2026 00:52,canceled,1
399,2124,1892,14/12/2025 21:51,25/12/2025 21:51,canceled,1
412,2293,3409,28/07/2025 23:27,15/08/2025 23:27,canceled,1
446,3067,5452,28/07/2026 10:43,02/08/2026 10:43,rejected,1
448,2774,2400,22/01/2027 17:02,09/02/2027 17:02,canceled,1
467,3002,2111,18/01/2027 15:46,30/01/2027 15:46,canceled,1
470,2171,2952,18/05/2026 13:31,30/05/2026 13:31,canceled,1
472,1017,1839,13/05/2026 03:14,23/05/2026 03:14,canceled,1
479,2311,4621,06/10/2026 09:40,13/10/2026 09:40,canceled,1
487,1469,4705,16/08/2026 15:32,02/09/2026 15:32,canceled,1
490,1576,3019,24/06/2026 09:21,09/07/2026 09:21,canceled,1
499,482,4240,17/01/2027 07:37,26/01/2027 07:37,canceled,1
506,2686,4070,01/01/2027 00:51,09/01/2027 00:51,canceled,1
569,1264,5245,14/10/2026 02:27,19/10/2026 02:27,rejected,1
574,2692,5202,22/09/2026 19:13,04/10/2026 19:13,canceled,1
579,47,3049,16/01/2027 17:09,25/01/2027 17:09,canceled,1
596,2344,2205,11/02/2026 22:24,26/02/2026 22:24,rejected,1
598,1852,3521,28/12/2026 15:14,02/01/2027 15:14,canceled,1
602,3008,3223,16/11/2026 13:45,29/11/2026 13:45,canceled,1
605,625,2877,04/08/2026 15:28,18/08/2026 15:28,canceled,1
610,977,2543,21/10/2026 09:23,29/10/2026 09:23,canceled,1
618,422,2877,27/01/2027 19:04,07/02/2027 19:04,canceled,1
634,147,4096,05/01/2027 17:21,06/01/2027 17:21,canceled,1
653,2718,2671,19/12/2026 14:08,20/12/2026 14:08,canceled,1
678,933,4541,27/08/2026 03:21,09/09/2026 03:21,rejected,1
692,197,2469,16/09/2026 00:00,20/09/2026 00:00,canceled,1
695,975,3024,13/06/2026 00:00,20/06/2026 00:00,canceled,1
713,532,1648,11/12/2026 00:00,24/12/2026 00:00,canceled,1
738,781,2961,04/11/2026 00:00,12/11/2026 00:00,canceled,1
761,1127,1580,20/11/2026 00:00,30/11/2026 00:00,rejected,1
771,2952,3469,13/05/2026 00:00,23/05/2026 00:00,canceled,1
775,2296,5424,16/07/2026 00:00,27/07/2026 00:00,accepted,1
784,347,3988,06/12/2026 10:59,,alerted,1
798,308,3989,17/12/2026 00:00,23/12/2026 00:00,accepted,1
800,2256,4905,16/11/2026 00:00,24/11/2026 00:00,accepted,1
805,2036,4903,26/10/2026 00:00,03/11/2026 00:00,accepted,1
807,1469,4296,19/08/2026 00:00,31/08/2026 00:00,accepted,1
809,902,5245,16/01/2026 01:57,06/02/2026 01:57,accepted,1
810,781,3938,04/11/2026 00:00,09/11/2026 00:00,accepted,1
823,2226,4716,09/11/2026 12:43,13/11/2026 12:43,accepted,1
