id,follower_id,following_id,followed_at
1,1501,56,2025-05-26
2,1501,149,2025-01-28
3,1501,199,2025-05-02
4,1501,227,2025-08-20
5,1501,1004,2025-04-15
6,1501,1169,2025-12-16
7,1502,11,2025-05-09
8,1502,154,2026-03-02
9,1502,638,2025-02-22
10,1502,687,2025-07-23
11,1502,734,2025-08-29
12,1503,38,2025-10-01
13,1503,136,2025-02-25
14,1503,159,2026-04-20
15,1503,322,2025-03-14
16,1503,516,2026-04-09
17,1503,607,2025-08-26
18,1503,638,2026-01-15
19,1503,923,2026-02-09
20,1503,1143,2025-09-13
21,1504,37,2025-12-08
22,1504,116,2025-09-20
23,1504,163,2025-03-29
24,1504,381,2026-04-14
25,1504,1283,2025-04-06
26,1504,1349,2025-02-08
27,1505,14,2025-01-08
28,1505,59,2026-03-03
29,1505,63,2025-03-24
30,1505,81,2025-11-24
31,1506,31,2025-02-17
32,1506,165,2026-03-26
33,1506,227,2025-09-09
34,1506,235,2026-04-03
35,1506,479,2026-02-25
36,1506,775,2025-10-29
37,1506,843,2025-10-02
38,1507,37,2026-02-28
39,1507,123,2025-04-04
40,1507,671,2025-02-22
41,1507,843,2025-11-18
42,1507,1094,2025-04-10
43,1508,82,2025-05-14
44,1508,548,2025-09-23
45,1509,13,2026-04-22
46,1509,633,2025-08-03
47,1509,1265,2025-03-29
48,1510,20,2025-10-21
49,1510,147,2025-10-07
50,1510,246,2025-06-24
51,1510,336,2026-01-12
52,1510,473,2026-03-01
53,1510,881,2025-09-09
54,1510,1175,2026-02-06
55,1511,13,2026-01-10
56,1511,475,2025-12-18
57,1511,609,2025-11-07
58,1511,732,2025-08-13
59,1511,750,2025-04-30
60,1511,922,2026-01-24
61,1511,1258,2025-08-07
62,1512,191,2026-03-20
63,1512,215,2026-02-28
64,1512,392,2025-04-29
65,1512,460,2026-03-24
66,1512,506,2026-02-26
67,1512,826,2025-10-04
68,1512,1478,2025-05-05
69,1513,165,2026-03-25
70,1513,200,2025-02-28
71,1513,222,2026-03-11
72,1513,301,2025-09-21
73,1513,490,2025-04-01
74,1513,627,2025-10-06
75,1513,671,2025-12-15
76,1514,56,2025-06-13
77,1514,195,2025-07-29
78,1514,848,2025-01-15
79,1514,890,2025-06-23
80,1514,1089,2025-04-28
81,1514,1091,2025-10-21
82,1514,1396,2026-01-20
83,1515,169,2025-08-19
84,1515,565,2026-01-14
85,1515,1153,2025-01-12
86,1515,1306,2025-09-10
87,1516,192,2026-02-07
88,1516,887,2025-12-26
89,1516,1095,2025-10-29
90,1517,97,2025-10-06
91,1517,219,2026-01-04
92,1517,522,2025-11-22
93,1517,843,2025-08-08
94,1518,125,2025-07-26
95,1518,678,2025-12-15
96,1518,835,2026-04-20
97,1518,1186,2025-03-02
98,1519,163,2025-08-21
99,1519,539,2025-09-02
100,1519,1074,2025-12-25
101,1520,105,2025-02-01
102,1520,137,2025-07-26
103,1520,146,2026-03-17
104,1520,493,2026-04-26
105,1520,671,2025-09-12
106,1520,1169,2025-05-01
107,1521,13,2026-04-06
108,1521,203,2025-07-27
109,1521,614,2025-09-23
110,1521,978,2026-02-04
111,1521,1081,2026-02-18
112,1521,1248,2025-03-17
113,1521,1359,2026-03-17
114,1522,13,2026-02-10
115,1522,146,2025-01-08
116,1522,506,2025-07-06
117,1522,796,2026-01-27
118,1522,1061,2025-01-02
119,1523,15,2025-07-12
120,1523,880,2025-10-04
121,1523,919,2025-03-15
122,1523,1095,2025-02-13
123,1524,38,2025-12-04
124,1524,688,2026-03-07
125,1524,794,2025-03-29
126,1524,828,2025-04-03
127,1524,912,2025-04-25
128,1524,915,2025-11-19
129,1524,1000,2025-06-28
130,1524,1383,2025-06-17
131,1525,88,2025-12-12
132,1525,123,2025-03-23
133,1525,377,2025-02-14
134,1525,759,2025-07-21
135,1525,781,2025-12-14
136,1525,878,2026-03-24
137,1525,1035,2025-12-04
138,1526,175,2025-07-07
139,1526,461,2025-01-08
140,1526,1461,2026-02-02
141,1527,12,2025-06-21
142,1527,138,2025-10-04
143,1527,1186,2025-08-18
144,1527,1422,2026-04-25
145,1527,1473,2025-02-23
146,1527,1478,2025-12-18
147,1528,97,2025-05-16
148,1528,1001,2025-07-27
149,1528,1309,2025-10-19
150,1529,67,2025-03-18
151,1529,146,2026-01-11
152,1529,196,2025-02-07
153,1529,379,2025-09-25
154,1529,627,2025-11-30
155,1529,691,2026-01-30
156,1529,1159,2026-04-25
157,1530,175,2025-03-31
158,1530,375,2025-02-07
159,1530,716,2025-10-20
160,1530,877,2025-03-13
161,1530,1310,2025-06-17
162,1530,1385,2025-10-18
163,1531,79,2025-07-23
164,1531,97,2025-08-22
165,1531,629,2026-01-22
166,1531,697,2025-11-01
167,1531,791,2025-01-21
168,1531,920,2025-10-13
169,1531,1210,2025-10-30
170,1531,1286,2025-10-01
171,1532,97,2026-01-31
172,1532,351,2025-12-16
173,1532,765,2025-05-18
174,1533,149,2025-05-01
175,1533,543,2025-08-09
176,1534,81,2025-11-16
177,1534,675,2025-11-08
178,1535,56,2025-10-05
179,1535,118,2025-05-28
180,1535,569,2026-02-06
181,1535,583,2025-10-07
182,1535,769,2026-03-21
183,1536,38,2025-01-09
184,1536,109,2025-03-23
185,1536,434,2025-03-06
186,1536,521,2026-04-02
187,1536,923,2026-04-16
188,1536,978,2025-01-20
189,1537,11,2026-03-12
190,1537,379,2025-06-19
191,1537,622,2026-02-13
192,1537,627,2025-01-18
193,1537,956,2025-11-06
194,1537,1432,2025-12-21
195,1538,38,2026-01-09
196,1538,263,2025-04-28
197,1538,325,2025-12-06
198,1538,598,2026-03-07
199,1538,608,2025-10-05
200,1538,736,2025-08-10
201,1538,829,2026-01-04
202,1538,1152,2025-11-03
203,1538,1303,2026-01-02
204,1538,1395,2025-12-21
205,1539,147,2025-05-09
206,1539,565,2025-09-17
207,1540,56,2025-05-30
208,1540,534,2025-11-28
209,1540,966,2025-03-08
210,1540,999,2025-06-02
211,1540,1192,2026-03-28
212,1540,1248,2025-11-07
213,1540,1379,2025-06-22
214,1540,1481,2026-03-10
215,1541,122,2026-01-12
216,1541,147,2025-11-09
217,1541,227,2025-09-20
218,1541,229,2025-10-11
219,1541,441,2025-11-19
220,1541,651,2025-02-03
221,1541,948,2025-11-28
222,1541,1272,2025-02-13
223,1541,1351,2025-05-26
224,1542,165,2025-06-27
225,1542,466,2025-08-20
226,1542,477,2025-11-17
227,1542,793,2025-10-07
228,1542,852,2025-09-17
229,1543,11,2025-08-23
230,1543,732,2026-02-19
231,1543,941,2026-01-20
232,1543,1057,2026-04-13
233,1543,1103,2025-01-19
234,1543,1284,2025-12-22
235,1543,1401,2025-12-02
236,1544,116,2025-08-14
237,1544,192,2025-02-16
238,1544,199,2025-07-02
239,1544,379,2026-04-18
240,1544,1175,2025-04-02
241,1544,1430,2025-05-01
242,1545,138,2026-04-04
243,1545,339,2025-10-06
244,1545,1305,2025-07-25
245,1546,123,2025-08-18
246,1546,227,2025-07-19
247,1546,1492,2025-09-02
