user_id,domain_id,education_status,current_level,country_code,career_goal_id,learning_style_id,profile_picture_url,bio,is_email_verified
1501,1,Senior,Junior,EG,2,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2501,,1
1502,3,Junior,Beginner,AE,5,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2509,,1
1503,3,Graduate,Mid,SA,2,4,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2513,,1
1504,1,Graduate,Mid,MA,4,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2515,,1
1505,2,Sophomore,Junior,EG,6,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2516,,1
1506,1,Graduate,Junior,SA,2,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2518,,1
1507,1,Freshman,Junior,AE,6,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2520,,1
1508,3,Sophomore,Mid,EG,6,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2524,,1
1509,3,Sophomore,Mid,EG,2,3,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2527,,1
1510,3,Junior,Junior,JO,6,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2530,,1
1511,1,Senior,Junior,SA,1,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2531,,1
1512,2,Junior,Junior,SA,6,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2532,,1
1513,1,Freshman,Mid,JO,2,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2534,,1
1514,4,Sophomore,Junior,EG,6,4,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2538,,1
1515,2,Sophomore,Beginner,MA,5,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2540,,1
1516,4,Graduate,Beginner,AE,6,4,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2542,,1
1517,1,Senior,Beginner,SA,4,3,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2544,,1
1518,2,Senior,Mid,SA,6,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2545,,1
1519,3,Graduate,Junior,MA,6,3,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2546,,1
1520,1,Freshman,Junior,EG,6,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2548,,1
1521,2,Senior,Beginner,EG,3,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2549,,1
1522,2,Sophomore,Beginner,EG,1,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2550,,1
1523,4,Freshman,Junior,EG,1,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2551,,1
1524,1,Junior,Mid,SA,6,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2552,,1
1525,4,Junior,Mid,MA,6,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2557,,1
1526,1,Freshman,Beginner,JO,4,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2558,,1
1527,2,Sophomore,Mid,EG,6,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2559,,1
1528,2,Junior,Beginner,SA,5,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2560,,1
1529,1,Sophomore,Mid,AE,1,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2562,,1
1530,4,Graduate,Beginner,EG,1,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2563,,1
1531,4,Senior,Mid,JO,2,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2564,,1
1532,4,Freshman,Beginner,JO,4,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2566,,1
1533,4,Senior,Beginner,JO,1,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2569,,1
1534,2,Graduate,Junior,EG,3,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2570,,1
1535,2,Junior,Beginner,SA,5,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2571,,1
1536,3,Sophomore,Senior,EG,5,3,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2572,,1
1537,1,Sophomore,Mid,EG,6,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2574,,1
1538,3,Graduate,Junior,SA,5,3,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2576,,1
1539,2,Freshman,Junior,MA,2,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2577,,1
1540,2,Senior,Mid,JO,3,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2580,,1
1541,1,Junior,Beginner,MA,2,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2581,,1
1542,1,Freshman,Beginner,JO,4,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2582,,1
1543,1,Graduate,Junior,EG,1,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2583,,1
1544,1,Graduate,Beginner,SA,5,4,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2584,,1
1545,1,Sophomore,Beginner,EG,4,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2585,,1
1546,1,Junior,Mid,EG,1,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2586,,1
1547,1,Freshman,Mid,SA,1,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2587,,1
1548,2,Sophomore,Mid,AE,2,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2588,,1
1549,1,Junior,Beginner,AE,6,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2589,,1
1550,3,Senior,Junior,EG,4,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2591,,1
1551,1,Senior,Mid,EG,4,2,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2592,,1
1552,2,Sophomore,Junior,EG,5,3,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2593,,1
1553,1,Freshman,Junior,EG,2,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2594,,1
1554,2,Junior,Mid,EG,5,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2596,,1
1555,2,Senior,Beginner,AE,3,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2597,,1
