MentorshipId,ProgramId,MentorProfileId,MenteeProfileId,Status,StartDate,EndDate
13,781,923,3476,completed,2026-12-03 17:25:23,2026-12-25 17:25:23
15,2853,850,4346,active,2027-02-02 21:25:37,2027-03-05 21:25:37
40,2296,1325,5424,completed,2026-08-06 00:00:00,2026-10-30 00:00:00
41,308,637,3989,active,2027-01-04 00:00:00,2027-02-27 00:00:00
42,2256,1078,4905,active,2026-11-26 00:00:00,2027-02-03 00:00:00
43,2036,783,4903,completed,2026-11-16 00:00:00,2027-01-28 00:00:00
44,902,829,5245,active,2026-02-09 01:57:22,2026-04-14 01:57:22
45,1991,1114,2986,active,2026-11-23 09:42:26,2026-12-26 09:42:26
46,1383,1384,5170,active,2027-01-11 00:00:00,2027-01-26 14:03:35
48,832,1062,3107,active,2026-12-04 00:00:00,2027-02-03 00:00:00
49,3104,123,4264,active,2026-11-11 00:00:00,2027-02-07 00:00:00
50,2809,1402,1605,completed,2026-09-06 00:00:00,2026-11-12 00:00:00
51,1459,922,2791,active,2025-12-26 00:00:00,2026-02-03 00:00:00
52,2536,1320,4303,active,2027-01-15 16:39:10,2027-03-04 16:39:10
53,2026,426,4452,completed,2025-11-18 00:00:00,2026-01-01 00:00:00
54,1451,137,4238,completed,2026-12-31 01:42:21,2027-03-05 01:42:21
56,1480,880,1927,canceled,2026-07-08 00:00:00,2026-09-16 00:00:00
57,2809,1402,2664,completed,2026-08-30 00:00:00,2026-10-15 00:00:00
58,2868,13,2320,completed,2026-10-01 05:33:40,2026-10-31 05:33:40
59,197,1093,2159,active,2026-09-26 00:00:00,2026-11-24 00:00:00
60,1318,1428,2762,active,2026-12-08 00:00:00,2027-01-23 00:00:00
61,1197,1385,2830,active,2027-01-22 04:46:14,2027-04-06 04:46:14
62,2688,1424,4238,completed,2026-03-07 10:26:02,2026-05-16 10:26:02
63,1580,422,3264,active,2026-06-06 00:00:00,2026-08-17 00:00:00
64,1735,1366,2849,active,2025-12-30 20:06:43,2026-02-28 20:06:43
66,1359,714,2248,completed,2026-08-26 00:00:00,2026-11-21 00:00:00
67,3088,1393,1902,active,2026-09-16 00:00:00,2026-12-06 00:00:00
68,2955,1022,2903,active,2026-04-24 00:00:00,2026-06-22 00:00:00
69,1879,657,3415,completed,2025-12-10 00:00:00,2026-01-22 10:28:17
70,2213,346,1778,active,2026-12-31 00:00:00,2027-03-28 00:00:00
71,2309,958,2662,completed,2026-07-29 04:05:57,2026-10-10 04:05:57
72,2749,473,5340,active,2026-05-05 17:30:03,2026-07-06 17:30:03
74,2529,960,5375,active,2026-12-16 00:00:00,2027-02-27 00:00:00
75,1245,1128,2787,active,2026-10-30 00:00:00,2027-01-02 00:00:00
76,697,878,1812,active,2026-06-17 00:00:00,2026-07-01 18:14:35
77,924,696,3825,active,2026-11-08 00:00:00,2026-12-18 00:00:00
78,2227,816,1713,active,2025-10-10 00:00:00,2025-11-13 00:00:00
79,3140,881,1719,completed,2027-01-04 00:00:00,2027-03-03 00:00:00
