MentorshipId,ProgramId,MenteeProfileId,MentorProfileId,CancellationActor,CancellationDate,CancellationReasonValue
56,1480,1927,880,mentee,2026-07-16 00:00:00,communication_issues
118,1864,3977,1069,mentee,2027-01-26 00:00:00,personal_reasons
142,462,5137,734,mentee,2026-10-28 00:00:00,personal_reasons
205,2877,2072,1206,mentee,2027-01-19 00:00:00,personal_reasons
262,1352,5033,182,mentee,2026-05-12 00:00:00,goal_mismatch
277,133,4602,1374,mentee,2025-10-17 15:24:17,goal_mismatch
325,100,4612,32,mentee,2027-01-02 00:00:00,personal_reasons
359,2868,3252,13,mentee,2026-02-24 00:00:00,personal_reasons
361,779,3287,923,mentee,2026-07-15 05:25:29,personal_reasons
384,3120,2708,1397,mentee,2026-09-18 00:00:00,personal_reasons
402,20,2807,39,mentee,2026-05-23 00:00:00,personal_reasons
462,781,4853,923,mentee,2026-12-29 00:00:00,personal_reasons
463,2852,4346,850,mentee,2026-12-19 00:00:00,personal_reasons
469,170,5039,405,mentee,2025-10-17 00:00:00,personal_reasons
480,854,3941,1337,mentee,2026-08-24 00:00:00,goal_mismatch
498,1498,2876,1194,mentee,2026-12-01 00:00:00,scheduling_conflict
502,1820,2771,273,mentee,2026-04-01 00:00:00,personal_reasons
523,367,5238,365,mentee,2026-08-15 00:00:00,mentor_unavailable
542,1498,3500,1194,mentee,2026-12-16 00:00:00,communication_issues
558,1698,4621,47,mentee,2027-01-24 00:00:00,communication_issues
576,1863,2043,45,mentee,2027-03-11 00:00:00,communication_issues
585,2256,5064,1078,mentee,2027-01-17 00:00:00,personal_reasons
589,698,5493,407,mentee,2026-09-14 00:00:00,scheduling_conflict
608,2363,1744,1210,mentee,2026-12-05 00:00:00,goal_mismatch
637,752,1824,35,mentee,2027-03-18 00:00:00,mentor_unavailable
656,1352,4293,182,mentee,2026-08-07 00:00:00,goal_mismatch
659,318,5104,706,mentee,2027-02-11 00:00:00,personal_reasons
706,2914,3207,351,mentee,2027-01-20 00:00:00,personal_reasons
721,2102,5316,511,mentee,2026-09-11 00:00:00,communication_issues
742,795,3733,362,mentee,2025-10-03 00:00:00,scheduling_conflict
789,2131,3510,411,mentee,2027-03-05 00:00:00,scheduling_conflict
794,2712,4641,834,mentee,2025-07-03 00:00:00,mentor_unavailable
796,3132,2009,76,mentee,2025-11-09 00:00:00,personal_reasons
801,95,3057,1294,mentee,2025-08-28 00:00:00,goal_mismatch
806,2557,3814,1153,mentee,2026-10-07 00:00:00,communication_issues
821,1515,4922,16,mentee,2027-01-24 00:00:00,personal_reasons
871,2425,3526,701,mentee,2027-03-24 00:00:00,goal_mismatch
873,639,5321,246,mentee,2026-12-06 00:00:00,mentor_unavailable
890,977,4886,109,mentee,2026-11-21 00:00:00,scheduling_conflict
900,2084,1809,146,mentee,2027-02-04 00:00:00,personal_reasons
905,2523,4765,1332,mentee,2027-01-21 00:00:00,mentor_unavailable
907,318,1550,706,mentee,2027-02-13 00:00:00,personal_reasons
913,1984,2048,656,mentee,2027-05-03 00:00:00,goal_mismatch
922,1064,3211,231,mentee,2026-10-29 00:00:00,mentor_unavailable
