id,follower_id,following_id,followed_at
1,1501,56,2024-03-13
2,1501,149,2023-11-16
3,1501,199,2024-02-18
4,1501,227,2024-06-07
5,1501,1004,2024-02-01
6,1501,1169,2024-10-03
7,1502,11,2024-02-25
8,1502,154,2024-12-18
9,1502,638,2023-12-11
10,1502,687,2024-05-10
11,1502,734,2024-06-16
12,1503,38,2024-07-19
13,1503,136,2023-12-14
14,1503,159,2025-02-05
15,1503,322,2023-12-31
16,1503,516,2025-01-25
17,1503,607,2024-06-13
18,1503,638,2024-11-02
19,1503,923,2024-11-27
20,1503,1143,2024-07-01
21,1504,37,2024-09-25
22,1504,116,2024-07-08
23,1504,163,2024-01-15
24,1504,381,2025-01-30
25,1504,1283,2024-01-23
26,1504,1349,2023-11-27
27,1505,14,2023-10-27
28,1505,59,2024-12-19
29,1505,63,2024-01-10
30,1505,81,2024-09-11
31,1506,31,2023-12-06
32,1506,165,2025-01-11
33,1506,227,2024-06-27
34,1506,235,2025-01-19
35,1506,479,2024-12-13
36,1506,775,2024-08-16
37,1506,843,2024-07-20
38,1507,37,2024-12-16
39,1507,123,2024-01-21
40,1507,671,2023-12-11
41,1507,843,2024-09-05
42,1507,1094,2024-01-27
43,1508,82,2024-03-01
44,1508,548,2024-07-11
45,1509,13,2025-02-07
46,1509,633,2024-05-21
47,1509,1265,2024-01-15
48,1510,20,2024-08-08
49,1510,147,2024-07-25
50,1510,246,2024-04-11
51,1510,336,2024-10-30
52,1510,473,2024-12-17
53,1510,881,2024-06-27
54,1510,1175,2024-11-24
55,1511,13,2024-10-28
56,1511,475,2024-10-05
57,1511,609,2024-08-25
58,1511,732,2024-05-31
59,1511,750,2024-02-16
60,1511,922,2024-11-11
61,1511,1258,2024-05-25
62,1512,191,2025-01-05
63,1512,215,2024-12-16
64,1512,392,2024-02-15
65,1512,460,2025-01-09
66,1512,506,2024-12-14
67,1512,826,2024-07-22
68,1512,1478,2024-02-21
69,1513,165,2025-01-10
70,1513,200,2023-12-17
71,1513,222,2024-12-27
72,1513,301,2024-07-09
73,1513,490,2024-01-18
74,1513,627,2024-07-24
75,1513,671,2024-10-02
76,1514,56,2024-03-31
77,1514,195,2024-05-16
78,1514,848,2023-11-03
79,1514,890,2024-04-10
80,1514,1089,2024-02-14
81,1514,1091,2024-08-08
82,1514,1396,2024-11-07
83,1515,169,2024-06-06
84,1515,565,2024-11-01
85,1515,1153,2023-10-31
86,1515,1306,2024-06-28
87,1516,192,2024-11-25
88,1516,887,2024-10-13
89,1516,1095,2024-08-16
90,1517,97,2024-07-24
91,1517,219,2024-10-22
92,1517,522,2024-09-09
93,1517,843,2024-05-26
94,1518,125,2024-05-13
95,1518,678,2024-10-02
96,1518,835,2025-02-05
97,1518,1186,2023-12-19
98,1519,163,2024-06-08
99,1519,539,2024-06-20
100,1519,1074,2024-10-12
101,1520,105,2023-11-20
102,1520,137,2024-05-13
103,1520,146,2025-01-02
104,1520,493,2025-02-11
105,1520,671,2024-06-30
106,1520,1169,2024-02-17
107,1521,13,2025-01-22
108,1521,203,2024-05-14
109,1521,614,2024-07-11
110,1521,978,2024-11-22
