mentee_id,technology_id,experience_level
1501,33,intermediate
1501,32,beginner
1501,31,beginner
1501,30,beginner
1501,29,beginner
1501,24,intermediate
1501,25,beginner
1501,23,intermediate
1501,22,intermediate
1501,37,beginner
1501,42,beginner
1501,36,none
1501,40,intermediate
1502,109,intermediate
1502,108,beginner
1502,126,beginner
1502,127,intermediate
1502,124,advanced
1502,125,beginner
1503,106,intermediate
1503,104,beginner
1503,105,intermediate
1503,126,beginner
1503,127,intermediate
1503,124,intermediate
1503,125,none
1504,11,beginner
1504,10,intermediate
1504,20,beginner
1504,21,beginner
1504,38,intermediate
1504,44,intermediate
1504,47,beginner
1505,84,beginner
1505,86,beginner
1505,82,intermediate
1505,76,beginner
1505,79,intermediate
1506,24,intermediate
1506,25,beginner
1506,22,intermediate
1506,13,none
1506,18,intermediate
1507,23,none
1507,25,intermediate
1507,24,beginner
1507,22,beginner
1507,32,beginner
1507,33,intermediate
1507,29,beginner
1508,123,intermediate
1508,122,none
1508,126,beginner
1508,125,beginner
1508,104,none
1508,109,intermediate
1508,107,intermediate
1509,109,beginner
1509,104,beginner
1509,106,intermediate
1509,107,beginner
1509,116,beginner
1509,117,beginner
1509,118,beginner
1509,119,beginner
1510,117,beginner
1510,116,beginner
1510,119,beginner
1510,127,none
1510,126,beginner
1510,124,beginner
1511,31,beginner
1511,32,beginner
1511,33,intermediate
1511,34,beginner
1511,29,beginner
1511,42,intermediate
1511,44,beginner
1511,37,beginner
1511,41,none
1511,47,beginner
1512,84,beginner
1512,85,beginner
1512,86,beginner
1512,87,intermediate
1512,83,beginner
1512,97,intermediate
1512,96,none
1512,102,beginner
1513,31,beginner
1513,33,none
1513,35,intermediate
1513,13,advanced
1513,10,beginner
1513,11,beginner
1513,15,beginner
1513,56,intermediate
1513,54,none
1513,49,beginner
1513,51,intermediate
1514,141,beginner
1514,142,beginner
1514,144,beginner
1514,135,beginner
1514,136,beginner
1514,138,beginner
1514,139,intermediate
1514,140,intermediate
1515,84,intermediate
1515,88,beginner
1515,89,beginner
1515,94,beginner
1515,90,intermediate
1516,154,intermediate
1516,153,beginner
1516,141,beginner
1516,142,beginner
1516,144,beginner
1516,145,none
1516,136,beginner
1516,138,advanced
1516,135,intermediate
1516,139,none
1517,14,none
1517,15,beginner
1517,49,intermediate
1517,56,beginner
1517,48,intermediate
1517,51,beginner
1518,66,beginner
1518,67,advanced
1518,65,intermediate
1518,69,beginner
1518,86,intermediate
1518,84,beginner
1518,85,intermediate
1518,81,beginner
1519,116,none
1519,119,intermediate
1519,106,beginner
1519,105,beginner
1519,110,intermediate
1519,113,none
1520,37,intermediate
1520,44,beginner
1520,40,intermediate
1520,33,beginner
1520,31,beginner
1520,32,none
1520,29,beginner
1521,76,none
1521,80,beginner
1521,79,beginner
1521,78,advanced
1521,77,intermediate
1521,67,beginner
1521,65,advanced
1521,70,none
1522,80,beginner
1522,76,beginner
1522,79,intermediate
1522,77,intermediate
1522,78,beginner
1522,60,beginner
1522,57,beginner
1522,59,intermediate
1522,58,beginner
1523,141,beginner
1523,143,beginner
1523,149,none
1523,146,intermediate
1523,147,beginner
1523,148,intermediate
1524,3,none
1524,1,none
1524,5,intermediate
1524,4,intermediate
1524,14,intermediate
1524,20,beginner
1524,13,intermediate
1524,12,beginner
1524,21,beginner
1525,128,beginner
1525,134,beginner
1525,130,beginner
1525,146,advanced
1525,149,none
1525,147,intermediate
1526,1,intermediate
1526,3,beginner
1526,2,none
1526,56,beginner
1526,48,beginner
1526,49,beginner
1526,52,beginner
1527,85,intermediate
1527,84,none
1527,86,beginner
1527,81,intermediate
1527,73,beginner
1527,74,none
1528,95,beginner
1528,90,none
1528,65,beginner
1528,67,beginner
1528,66,beginner
1528,69,beginner
1529,8,beginner
1529,1,none
1529,4,intermediate
1529,48,beginner
1529,56,intermediate
1529,49,intermediate
1529,52,advanced
1530,154,intermediate
1530,151,beginner
1530,150,none
1530,141,beginner
1530,142,intermediate
1530,144,beginner
1531,131,advanced
1531,129,none
1531,136,advanced
1531,138,none
1531,135,beginner
1531,139,intermediate
1531,140,beginner
1531,151,beginner
1531,154,intermediate
1531,150,none
1531,152,none
1531,153,beginner
1532,128,intermediate
1532,131,beginner
1532,130,intermediate
1532,149,intermediate
1532,146,beginner
1532,147,beginner
1533,154,intermediate
1533,151,beginner
1533,152,beginner
1533,135,intermediate
1533,139,intermediate
1534,95,beginner
1534,94,intermediate
1534,89,beginner
1534,91,beginner
1534,84,beginner
1534,82,beginner
1535,86,beginner
1535,85,beginner
1535,88,intermediate
1535,72,beginner
1535,73,none
1535,71,beginner
1536,117,advanced
