user_id,domain_id,education_status,current_level,country_code,career_goal_id,learning_style_id,profile_picture_url
1501,1,Senior,Junior,EG,2,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2501
1502,3,Junior,Beginner,AE,5,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2509
1503,3,Graduate,Mid,SA,2,4,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2513
1504,1,Graduate,Mid,MA,4,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2515
1505,2,Sophomore,Junior,EG,6,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2516
1506,1,Graduate,Junior,SA,2,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2518
1507,1,Freshman,Junior,AE,6,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2520
1508,3,Sophomore,Mid,EG,6,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2524
1509,3,Sophomore,Mid,EG,2,3,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2527
1510,3,Junior,Junior,JO,6,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2530
1511,1,Senior,Junior,SA,1,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2531
1512,2,Junior,Junior,SA,6,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2532
1513,1,Freshman,Mid,JO,2,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2534
1514,4,Sophomore,Junior,EG,6,4,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2538
1515,2,Sophomore,Beginner,MA,5,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2540
1516,4,Graduate,Beginner,AE,6,4,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2542
1517,1,Senior,Beginner,SA,4,3,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2544
1518,2,Senior,Mid,SA,6,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2545
1519,3,Graduate,Junior,MA,6,3,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2546
1520,1,Freshman,Junior,EG,6,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2548
1521,2,Senior,Beginner,EG,3,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2549
1522,2,Sophomore,Beginner,EG,1,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2550
1523,4,Freshman,Junior,EG,1,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2551
1524,1,Junior,Mid,SA,6,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2552
1525,4,Junior,Mid,MA,6,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2557
1526,1,Freshman,Beginner,JO,4,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2558
1527,2,Sophomore,Mid,EG,6,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2559
1528,2,Junior,Beginner,SA,5,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2560
1529,1,Sophomore,Mid,AE,1,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2562
1530,4,Graduate,Beginner,EG,1,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2563
1531,4,Senior,Mid,JO,2,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2564
1532,4,Freshman,Beginner,JO,4,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2566
1533,4,Senior,Beginner,JO,1,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2569
1534,2,Graduate,Junior,EG,3,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2570
1535,2,Junior,Beginner,SA,5,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2571
1536,3,Sophomore,Senior,EG,5,3,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2572
1537,1,Sophomore,Mid,EG,6,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2574
1538,3,Graduate,Junior,SA,5,3,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2576
1539,2,Freshman,Junior,MA,2,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2577
1540,2,Senior,Mid,JO,3,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2580
1541,1,Junior,Beginner,MA,2,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2581
1542,1,Freshman,Beginner,JO,4,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2582
1543,1,Graduate,Junior,EG,1,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2583
1544,1,Graduate,Beginner,SA,5,4,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2584
1545,1,Sophomore,Beginner,EG,4,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2585
1546,1,Junior,Mid,EG,1,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2586
1547,1,Freshman,Mid,SA,1,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2587
1548,2,Sophomore,Mid,AE,2,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2588
1549,1,Junior,Beginner,AE,6,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2589
1550,3,Senior,Junior,EG,4,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2591
1551,1,Senior,Mid,EG,4,2,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2592
1552,2,Sophomore,Junior,EG,5,3,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2593
1553,1,Freshman,Junior,EG,2,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2594
1554,2,Junior,Mid,EG,5,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2596
1555,2,Senior,Beginner,AE,3,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2597
1556,2,Senior,Junior,JO,2,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2600
1557,1,Freshman,Junior,SA,2,2,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2601
1558,2,Sophomore,Beginner,AE,1,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2602
1559,1,Graduate,Beginner,EG,3,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2603
1560,2,Junior,Junior,MA,1,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2604
1561,1,Senior,Mid,EG,6,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2605
1562,2,Graduate,Beginner,JO,4,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2607
1563,1,Freshman,Beginner,MA,5,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2608
1564,3,Sophomore,Mid,JO,3,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2609
1565,1,Junior,Mid,EG,2,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2610
1566,1,Freshman,Mid,AE,5,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2611
1567,1,Sophomore,Beginner,EG,1,3,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2612
1568,1,Freshman,Junior,EG,2,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2613
1569,2,Senior,Beginner,EG,6,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2614
1570,3,Senior,Mid,MA,2,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2619
1571,3,Graduate,Junior,MA,6,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2621
1572,1,Freshman,Junior,EG,5,2,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2622
1573,1,Senior,Senior,SA,1,3,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2623
1574,3,Sophomore,Junior,MA,3,2,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2625
1575,1,Graduate,Beginner,SA,3,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2632
1576,1,Junior,Junior,EG,1,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2633
1577,3,Freshman,Junior,SA,4,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2635
1578,1,Senior,Beginner,AE,3,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2636
1579,1,Sophomore,Junior,SA,6,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2637
1580,1,Freshman,Mid,AE,6,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2640
1581,2,Sophomore,Mid,SA,4,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2643
1582,1,Graduate,Mid,EG,3,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2645
1583,2,Senior,Junior,EG,5,4,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2650
1584,1,Senior,Beginner,EG,3,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2651
1585,1,Graduate,Junior,SA,6,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2652
1586,1,Sophomore,Junior,EG,4,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2653
1587,3,Freshman,Beginner,JO,5,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2657
1588,1,Sophomore,Junior,SA,3,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2658
1589,3,Freshman,Mid,AE,1,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2667
1590,1,Graduate,Beginner,MA,3,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2668
1591,1,Junior,Mid,JO,4,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2669
1592,1,Freshman,Beginner,MA,2,8,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2670
1593,2,Senior,Beginner,SA,4,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2671
1594,2,Senior,Junior,EG,6,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2673
1595,3,Senior,Mid,MA,4,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2675
1596,4,Sophomore,Mid,JO,1,2,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2676
1597,3,Sophomore,Junior,JO,3,1,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2677
1598,2,Sophomore,Beginner,AE,1,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2678
1599,2,Senior,Junior,SA,1,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2679
1600,2,Freshman,Beginner,EG,1,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2680
1601,1,Senior,Mid,AE,1,4,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2681
1602,3,Freshman,Junior,EG,3,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2682
1603,3,Sophomore,Junior,EG,5,7,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2684
1604,1,Junior,Beginner,SA,6,6,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2685
1605,4,Sophomore,Beginner,SA,1,5,https://api.dicebear.com/7.x/avataaars/svg?seed=mentee_2686
