mentee_id,subdomain_id
1501,4
1501,3
1501,5
1502,14
1502,18
1503,14
1503,18
1504,2
1504,5
1505,11
1505,10
1506,3
1506,2
1507,3
1507,4
1508,17
1508,18
1508,14
1509,14
1509,16
1510,16
1510,18
1511,4
1511,5
1512,11
1512,13
1513,4
1513,2
1513,6
1514,21
1514,20
1515,11
1515,12
1516,23
1516,21
1516,20
1517,2
1517,6
1518,8
1518,11
1519,16
1519,14
1519,15
1520,5
1520,4
1521,10
1521,8
1522,10
1522,7
1523,21
1523,22
1524,1
1524,2
1525,19
1525,22
1526,1
1526,6
1527,11
1527,9
1528,12
1528,8
1529,1
1529,6
1530,23
1530,21
1531,19
1531,20
1531,23
1532,19
1532,22
1533,23
1533,20
1534,12
1534,11
1535,11
1535,9
1536,16
1536,15
1537,6
1537,4
1537,5
1538,18
1538,15
1538,17
1539,10
1539,9
1540,10
1540,12
1540,11
1541,3
1541,6
1541,1
1542,2
1542,1
1543,4
1543,2
1544,6
1544,5
1545,4
1545,2
1546,3
1546,2
1547,4
1547,5
1548,9
1548,7
1549,4
1549,6
1549,1
1550,16
1550,17
1551,3
1551,1
1552,11
1552,10
1552,7
1553,1
1553,5
1554,11
1554,13
1554,9
1555,7
1555,9
1556,9
1556,11
1557,2
1557,4
1558,7
1558,9
1559,2
1559,1
1560,10
1560,12
1561,4
1561,6
1562,9
1562,7
1563,6
1563,1
1564,18
1564,16
1565,6
1565,3
1566,5
1566,3
1567,3
1567,1
1567,5
1568,5
1568,6
1569,7
1569,8
1569,9
1570,18
1570,15
1571,18
1571,14
1572,6
1572,1
1573,1
1573,4
1574,18
1574,14
1575,3
1575,1
1576,3
1576,6
1577,15
1577,18
1578,1
1578,4
1579,4
1579,3
1580,6
1580,2
1581,10
1581,8
1582,5
1582,1
1583,8
1583,9
1584,3
1584,5
1584,6
1585,5
1585,1
1586,2
1586,5
1587,14
1587,15
1588,1
1588,4
1589,17
1589,15
1590,6
1590,3
1590,5
1591,5
1591,4
1591,2
1592,5
1592,3
1593,7
1593,13
1594,7
1594,11
1595,14
1595,18
1596,20
1596,22
1597,14
1597,15
1598,11
1598,9
1599,11
1599,7
1600,13
1600,9
1601,2
1601,1
1602,18
1602,17
1603,15
1603,14
1604,2
1604,1
1605,22
1605,23
1606,16
1606,15
1607,5
1607,4
1608,23
1608,21
1608,19
1609,5
1609,4
1610,2
1610,6
1611,2
1611,4
1612,8
1612,11
1613,5
