user_id,domain_id,years_of_experience,country_code,linkedin_url,profile_picture_url,created_at,average_rating,total_reviews,adjusted_rating
1,1,5,SA,https://www.linkedin.com/in/mentor-3/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_3,8/10/2025,1.0,1,3.3
2,2,11,SA,https://www.linkedin.com/in/mentor-7/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_7,7/24/2026,5.0,2,4.44
3,1,7,EG,https://www.linkedin.com/in/mentor-9/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_9,5/3/2026,5.0,1,4.3
4,2,10,EG,https://www.linkedin.com/in/mentor-11/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_11,1/20/2025,4.0,1,4.05
5,3,9,EG,https://www.linkedin.com/in/mentor-14/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_14,12/22/2025,0.0,0,0.0
6,3,10,EG,https://www.linkedin.com/in/mentor-15/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_15,10/17/2025,0.0,0,0.0
7,1,9,SA,https://www.linkedin.com/in/mentor-16/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_16,3/8/2025,0.0,0,0.0
8,2,5,SA,https://www.linkedin.com/in/mentor-18/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_18,3/16/2025,0.0,0,0.0
9,1,4,SA,https://www.linkedin.com/in/mentor-19/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_19,4/7/2026,4.5,6,4.36
10,1,9,AE,https://www.linkedin.com/in/mentor-21/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_21,11/11/2026,0.0,0,0.0
11,1,5,JO,https://www.linkedin.com/in/mentor-23/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_23,9/23/2026,4.0,3,4.03
12,2,5,AE,https://www.linkedin.com/in/mentor-24/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_24,8/17/2026,4.62,8,4.47
13,2,4,MA,https://www.linkedin.com/in/mentor-26/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_26,12/17/2025,3.91,23,3.93
14,1,6,EG,https://www.linkedin.com/in/mentor-27/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_27,12/26/2026,1.0,1,3.3
15,1,10,EG,https://www.linkedin.com/in/mentor-30/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_30,1/13/2025,0.0,0,0.0
16,1,14,EG,https://www.linkedin.com/in/mentor-31/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_31,8/15/2026,3.83,6,3.91
17,3,3,SA,https://www.linkedin.com/in/mentor-32/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_32,2/8/2025,0.0,0,0.0
18,2,3,JO,https://www.linkedin.com/in/mentor-33/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_33,6/7/2025,0.0,0,0.0
19,1,14,EG,https://www.linkedin.com/in/mentor-38/,https://api.dicebear.com/7.x/avataaars/svg?seed=mentor_38,5/27/2026,4.33,6,4.24
