post_id,technology_id,required_experience_level
1,109,beginner
1,104,none
1,106,none
2,116,advanced
2,119,none
2,117,beginner
3,116,beginner
3,119,none
3,118,none
4,29,beginner
4,32,beginner
5,32,none
5,29,beginner
6,1,intermediate
6,7,beginner
7,25,none
7,28,beginner
7,24,none
8,29,intermediate
8,32,intermediate
9,109,none
9,107,none
9,104,beginner
10,107,beginner
10,109,none
10,104,beginner
11,107,beginner
11,109,none
11,104,none
12,107,none
12,109,beginner
12,104,intermediate
13,110,intermediate
13,115,advanced
14,127,none
14,124,none
14,126,intermediate
15,115,intermediate
15,110,beginner
16,110,intermediate
16,115,intermediate
17,93,none
17,95,beginner
18,68,beginner
19,65,beginner
20,59,none
20,60,none
20,57,none
21,58,beginner
21,60,none
21,59,none
22,59,intermediate
22,61,beginner
22,58,beginner
23,65,beginner
23,67,beginner
23,70,beginner
24,76,intermediate
25,113,beginner
25,114,none
25,112,beginner
26,109,intermediate
26,108,beginner
26,106,beginner
27,110,intermediate
27,114,beginner
27,111,none
28,118,advanced
28,116,beginner
28,117,intermediate
29,118,none
29,119,beginner
29,116,none
30,68,intermediate
30,70,none
30,69,beginner
31,68,beginner
31,69,beginner
31,70,none
32,70,none
32,68,beginner
32,66,intermediate
33,110,beginner
33,115,none
33,111,none
34,124,beginner
34,127,none
34,126,none
35,126,none
35,127,intermediate
35,125,beginner
36,25,advanced
36,26,intermediate
37,25,beginner
38,25,beginner
38,26,none
39,34,intermediate
39,33,none
39,32,beginner
40,32,none
40,33,beginner
40,34,intermediate
41,33,none
41,34,beginner
41,32,none
42,23,intermediate
42,25,intermediate
42,22,advanced
43,24,beginner
43,25,beginner
43,23,beginner
44,71,beginner
44,72,beginner
44,75,beginner
45,72,beginner
45,71,none
45,73,beginner
46,72,none
46,71,beginner
46,75,beginner
47,72,none
47,73,intermediate
47,71,none
48,13,beginner
48,10,none
48,18,intermediate
49,31,advanced
49,29,beginner
50,13,none
50,14,beginner
50,10,beginner
51,19,beginner
51,13,none
51,18,intermediate
52,18,beginner
52,14,beginner
52,10,beginner
53,110,advanced
53,111,none
53,114,none
54,111,beginner
54,110,beginner
54,114,none
55,114,beginner
55,111,none
55,110,beginner
56,114,beginner
56,110,beginner
56,111,beginner
57,117,none
57,116,beginner
57,118,beginner
58,125,none
58,127,none
