post_id,mentor_id,target_level_num,required_education_num,is_open,is_available,capacity,program_enrollment_count,program_popularity_log,spots_left,spots_left_log,required_skill_count,avg_required_skill_level,program_difficulty_score,requirement_set,requirement_level_map,deadline,days_until_deadline,deadline_passed
6,4564,1,5,1,1,8,0,0.0,8,2.1972245773362196,2,2.5,1.6,"{1, 7}","{7: 2, 1: 3}",2026-06-24 00:00:00,276,0
7,4564,1,5,1,1,4,0,0.0,4,1.6094379124341003,3,1.3333333333333333,1.1333333333333333,"{24, 25, 28}","{25: 1, 24: 1, 28: 2}",2026-06-26 00:00:00,278,0
8,4564,1,4,1,1,7,0,0.0,7,2.0794415416798357,2,3.0,1.8000000000000003,"{32, 29}","{29: 3, 32: 3}",2026-02-12 00:00:00,144,0
9,3343,1,3,1,1,8,0,0.0,8,2.1972245773362196,3,1.3333333333333333,1.1333333333333333,"{104, 107, 109}","{107: 1, 109: 1, 104: 2}",2026-06-02 00:00:00,254,0
13,3723,1,3,1,1,6,0,0.0,6,1.9459101490553132,2,3.5,2.0,"{115, 110}","{110: 3, 115: 4}",2026-06-03 00:00:00,255,0
15,3723,1,5,1,1,8,0,0.0,8,2.1972245773362196,2,2.5,1.6,"{115, 110}","{110: 2, 115: 3}",2025-10-23 00:00:00,32,0
16,3723,2,1,1,1,7,0,0.0,7,2.0794415416798357,2,3.0,2.4000000000000004,"{115, 110}","{110: 3, 115: 3}",2026-06-04 00:00:00,256,0
17,5149,1,4,1,1,6,0,0.0,6,1.9459101490553132,2,1.5,1.2000000000000002,"{93, 95}","{93: 1, 95: 2}",2026-07-09 00:00:00,291,0
18,5149,1,2,1,1,7,0,0.0,7,2.0794415416798357,2,2.0,1.4,"{65, 68}","{68: 2, 65: 2}",2026-06-16 00:00:00,268,0
19,5149,2,4,1,1,7,0,0.0,7,2.0794415416798357,2,2.0,2.0,"{65, 68}","{65: 2, 68: 2}",2025-12-16 00:00:00,86,0
22,3910,1,5,1,1,5,0,0.0,5,1.791759469228055,3,2.3333333333333335,1.5333333333333334,"{58, 59, 61}","{61: 2, 58: 2, 59: 3}",2026-06-01 00:00:00,253,0
24,4588,2,5,1,1,4,0,0.0,4,1.6094379124341003,2,2.5,2.2,"{65, 76}","{65: 2, 76: 3}",2026-04-19 00:00:00,210,0
25,1758,1,3,1,1,8,0,0.0,8,2.1972245773362196,3,1.6666666666666667,1.2666666666666666,"{112, 113, 114}","{114: 1, 113: 2, 112: 2}",2026-06-04 00:00:00,256,0
